         481573117 function calls (477158168 primitive calls) in 1291.467 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.036    0.002    0.101    0.005 C:\Python34\lib\random.py:258(shuffle)
   201145    0.036    0.000    0.036    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:2790(_raise_on_invalid_property_error)
       27    0.036    0.001    0.093    0.003 C:\Python34\lib\random.py:280(sample)
     9200    0.035    0.000    0.035    0.000 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\initialSolution\initialSolution.py:47(<dictcomp>)
    27544    0.034    0.000    0.061    0.000 C:\Python34\lib\site-packages\pandas\core\dtypes\common.py:1773(_get_dtype_type)
     4569    0.034    0.000    0.049    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\line\_cmax.py:6(__init__)
    82310    0.033    0.000    0.034    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:855(validate_coerce)
     4569    0.032    0.000    0.040    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\_y.py:6(__init__)
    13694    0.032    0.000    0.197    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:453(in_values)
   105173    0.032    0.000    0.586    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1026(validate_coerce)
36691/9144    0.032    0.000    0.067    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:44(to_scalar_or_list)
     4569    0.032    0.000    0.197    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\selected\_textfont.py:81(__init__)
     4569    0.032    0.000    0.202    0.000 C:\Python34\lib\site-packages\plotly\graph_objs\scatter\unselected\_textfont.py:83(__init__)
    77641    0.029    0.000    0.066    0.000 C:\Python34\lib\site-packages\plotly\basedatatypes.py:2353(_init_props)
    52682    0.029    0.000    0.029    0.000 {built-in method sum}
     9120    0.029    0.000    0.089    0.000 C:\Python34\lib\site-packages\pandas\core\indexes\datetimes.py:579(_simple_new)
    36513    0.028    0.000    0.109    0.000 C:\Python34\lib\re.py:157(match)
     4569    0.028    0.000    1.142    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\_symbol.py:6(__init__)
     1088    0.028    0.000    0.030    0.000 {built-in method __build_class__}
    91200    0.027    0.000    0.182    0.000 C:\Python34\lib\random.py:214(randint)
   201192    0.027    0.000    0.027    0.000 {method 'keys' of 'dict' objects}
       25    0.026    0.001    0.026    0.001 C:\Python34\lib\json\decoder.py:349(raw_decode)
     1139    0.026    0.000    0.026    0.000 {built-in method loads}
     4587    0.026    0.000    3.149    0.001 C:\Python34\lib\site-packages\plotly\basedatatypes.py:3001(_set_array_prop)
    21920    0.025    0.000    0.025    0.000 {method 'uniform' of 'mtrand.RandomState' objects}
     4569    0.025    0.000    0.049    0.000 C:\Python34\lib\uuid.py:555(uuid1)
   169340    0.024    0.000    0.024    0.000 {method 'items' of 'dict' objects}
       81    0.024    0.000    0.059    0.001 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\fitnessCalculation\LHS.py:3(lot_sizeCalculation)
   100580    0.023    0.000    0.023    0.000 {method 'clear' of 'dict' objects}
     4569    0.023    0.000    0.031    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\error_y\_arraysrc.py:6(__init__)
   185254    0.022    0.000    0.022    0.000 {built-in method get_ident}
     4569    0.022    0.000    0.048    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\marker\colorbar\_showtickprefix.py:8(__init__)
     9120    0.022    0.000    0.092    0.000 C:\Python34\lib\site-packages\pandas\core\indexes\datetimelike.py:259(__getitem__)
     9482    0.021    0.000    0.021    0.000 {built-in method array}
    54856    0.021    0.000    0.098    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:303(validate_coerce)
    55168    0.021    0.000    0.048    0.000 C:\Python34\lib\site-packages\pandas\core\dtypes\generic.py:7(_check)
     4569    0.021    0.000    0.030    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\textfont\_familysrc.py:6(__init__)
    13727    0.020    0.000    0.030    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:123(is_homogeneous_array)
18245/9125    0.020    0.000    0.357    0.000 C:\Python34\lib\site-packages\pandas\util\_decorators.py:87(wrapper)
     4588    0.019    0.000    2.945    0.001 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:1838(validate_coerce)
     9159    0.019    0.000    0.052    0.000 C:\Python34\lib\site-packages\pandas\core\dtypes\common.py:1722(_get_dtype)
     4569    0.019    0.000    0.027    0.000 C:\Python34\lib\site-packages\plotly\validators\scatter\_r.py:6(__init__)
       29    0.019    0.001    0.019    0.001 {method 'sort' of 'list' objects}
    13694    0.018    0.000    0.046    0.000 C:\Python34\lib\site-packages\_plotly_utils\basevalidators.py:398(perform_replacemenet)
    64239    0.018    0.000    0.018    0.000 {method 'replace' of 'str' objects}
       20    0.018    0.001    0.032    0.002 C:\Users\khai.bui\Desktop\Operations\5. Eclipse\Python HJS-LS\src\initialSolution\initialSolution.py:33(<listcomp>)
